	CO_ANO	CO_MES	SH4	CO_PAIS	SG_UF_MUN	CO_MUN	KG_LIQUIDO	VL_FOB	VALOR AGREGADO
2235	2023.0	11.0	5602.0	63.0	SP	3408504.0	1196.0	7103.0	5.938963210702341
2238	2023.0	5.0	910.0	467.0	SP	3448500.0	126.0	256.0	2.0317460317460316
2245	2023.0	7.0	5516.0	249.0	SP	3409502.0	74.0	1214.0	16.405405405405407
2247	2023.0	12.0	8413.0	196.0	SP	3452205.0	144.0	7783.0	54.048611111111114
2252	2023.0	5.0	8207.0	586.0	SP	3452205.0	273.0	14093.0	51.62271062271062
2254	2023.0	9.0	2202.0	160.0	SP	3448500.0	54.0	67.0	1.2407407407407407
2256	2023.0	11.0	8481.0	275.0	SP	3454102.0	3754.0	86596.0	23.06766116142781
2257	2023.0	5.0	8544.0	40.0	SP	3450308.0	343.0	3795.0	11.064139941690962
2260	2023.0	7.0	8708.0	341.0	SP	3456701.0	2.0	42.0	21.0
2263	2023.0	6.0	8482.0	345.0	SP	3449102.0	7.0	531.0	75.85714285714286
2265	2023.0	6.0	8482.0	361.0	SP	3456206.0	492.0	8436.0	17.146341463414632
2267	2023.0	11.0	8481.0	573.0	SP	3450308.0	215.0	40959.0	190.50697674418603
2269	2023.0	11.0	1904.0	232.0	SP	3448500.0	23.0	294.0	12.782608695652174
2271	2023.0	3.0	3917.0	158.0	SP	3425904.0	830.0	6184.0	7.450602409638554
2273	2023.0	12.0	8504.0	63.0	SP	3452205.0	1.0	151.0	151.0
