CO_ANO	CO_MES	SH4	CO_PAIS	SG_UF_MUN	CO_MUN	KG_LIQUIDO	VL_FOB	VALOR AGREGADO
2023.0	5.0	8536.0	23.0	SP	3425904.0	13996.0	1622176.0	115.9028293798228
2023.0	8.0	3301.0	676.0	SP	3452205.0	10.0	1600.0	160.0
2023.0	2.0	8504.0	23.0	SP	3450308.0	5278.0	470011.0	89.0509662751042
2023.0	7.0	6112.0	160.0	SP	3450308.0	50.0	1836.0	36.72
2023.0	7.0	9031.0	149.0	SP	3450308.0	114.0	94620.0	830.0
2023.0	5.0	5407.0	161.0	SP	3403901.0	9885.0	29757.0	3.0103186646433993
2023.0	9.0	7326.0	628.0	SP	3413801.0	388.0	2467.0	6.358247422680412
2023.0	9.0	3926.0	23.0	SP	3409205.0	373.0	17993.0	48.238605898123325
2023.0	11.0	8209.0	791.0	SP	3452205.0	8.0	3398.0	424.75
2023.0	6.0	7616.0	160.0	SP	3452205.0	18092.0	580861.0	32.10595843466726
2023.0	1.0	3214.0	249.0	SP	3448708.0	677.0	15347.0	22.66912850812408
2023.0	12.0	2501.0	232.0	SP	3430706.0	24500.0	14650.0	0.5979591836734693
2023.0	5.0	8409.0	764.0	SP	3448708.0	136505.0	1742348.0	12.763986667155049
2023.0	7.0	6805.0	628.0	SP	3452205.0	1.0	46.0	46.0
2023.0	12.0	8471.0	249.0	SP	3450308.0	8401.0	3911807.0	465.63587668134744
2023.0	11.0	3302.0	63.0	SP	3450308.0	36491.0	282408.0	7.739113754076348
2023.0	3.0	4010.0	386.0	SP	3443907.0	106.0	11284.0	106.45283018867924
2023.0	10.0	2912.0	245.0	SP	3452502.0	19000.0	14708.0	0.7741052631578947
2023.0	2.0	8523.0	741.0	SP	3450308.0	7.0	1803.0	257.57142857142856
2023.0	4.0	7318.0	87.0	SP	3452205.0	3106.0	51190.0	16.48100450740502
2023.0	10.0	3403.0	23.0	SP	3407605.0	11.0	783.0	71.18181818181819
2023.0	3.0	4010.0	23.0	SP	3415004.0	17.0	4822.0	283.6470588235294
2023.0	3.0	7009.0	767.0	SP	3456701.0	7.0	151.0	21.571428571428573
2023.0	3.0	8466.0	247.0	SP	3405708.0	2.0	318.0	159.0
2023.0	9.0	9026.0	249.0	SP	3456206.0	4.0	2747.0	686.75
2023.0	6.0	3910.0	399.0	SP	3450308.0	6953.0	142940.0	20.55803250395513
2023.0	11.0	8482.0	399.0	SP	3440606.0	205.0	13421.0	65.46829268292683
2023.0	2.0	8534.0	351.0	SP	3423909.0	1212.0	17690.0	14.595709570957096
2023.0	9.0	4009.0	361.0	SP	3420509.0	1254.0	10439.0	8.324561403508772
2023.0	11.0	4202.0	361.0	SP	3409205.0	318.0	17208.0	54.113207547169814
2023.0	8.0	8484.0	386.0	SP	3450308.0	18.0	2104.0	116.88888888888889
2023.0	5.0	3304.0	190.0	SP	3450308.0	736.0	24968.0	33.92391304347826
2023.0	1.0	8536.0	493.0	SP	3448708.0	199.0	39115.0	196.55778894472363
2023.0	4.0	8481.0	764.0	SP	3413801.0	9.0	3970.0	441.1111111111111
2023.0	3.0	8414.0	23.0	SP	3450308.0	63791.0	1025626.0	16.077910677054756
2023.0	8.0	8471.0	858.0	SP	3409205.0	181.0	31979.0	176.67955801104972
2023.0	6.0	8487.0	249.0	SP	3419071.0	11.0	387.0	35.18181818181818
2023.0	4.0	9405.0	160.0	SP	3450308.0	393246.0	1546008.0	3.931401718008575
2023.0	7.0	8511.0	160.0	SP	3420509.0	41946.0	352667.0	8.40764316025366
2023.0	1.0	4811.0	160.0	SP	3450308.0	24881.0	107268.0	4.311241509585628
2023.0	5.0	7318.0	628.0	SP	3409205.0	3.0	577.0	192.33333333333334
2023.0	4.0	4016.0	160.0	SP	3452205.0	3401.0	63274.0	18.60452807997648
2023.0	3.0	3909.0	23.0	SP	3452403.0	17510.0	118931.0	6.792175899486008
2023.0	7.0	8413.0	23.0	SP	3448708.0	40420.0	1085230.0	26.848837209302324
2023.0	2.0	8708.0	764.0	SP	3456701.0	26491.0	483353.0	18.245932580876524
2023.0	11.0	7318.0	365.0	SP	3423404.0	2.0	479.0	239.5
2023.0	2.0	4009.0	249.0	SP	3415004.0	255.0	15113.0	59.266666666666666
2023.0	7.0	8543.0	160.0	SP	3425904.0	320.0	43054.0	134.54375
2023.0	4.0	8531.0	249.0	SP	3425904.0	162.0	90914.0	561.1975308641976
2023.0	2.0	9032.0	249.0	SP	3409502.0	1129.0	437940.0	387.9007971656333
2023.0	8.0	8505.0	190.0	SP	3420509.0	2.0	534.0	267.0
2023.0	3.0	3926.0	493.0	SP	3438006.0	9557.0	42008.0	4.395521607198912
2023.0	5.0	6004.0	160.0	SP	3450308.0	582.0	2826.0	4.855670103092783
2023.0	5.0	8511.0	246.0	SP	3452205.0	977.0	12237.0	12.525076765609008
2023.0	9.0	3208.0	249.0	SP	3429401.0	600.0	4026.0	6.71
2023.0	12.0	8409.0	23.0	SP	3456701.0	7345.0	253878.0	34.56473791695031
2023.0	12.0	7318.0	858.0	SP	3452205.0	7.0	133.0	19.0
2023.0	7.0	3810.0	23.0	SP	3423404.0	1680.0	20210.0	12.029761904761905
2023.0	11.0	3824.0	538.0	SP	3456701.0	3990.0	90429.0	22.66390977443609
2023.0	11.0	6702.0	160.0	SP	3450308.0	119651.0	314385.0	2.627516694386173
2023.0	12.0	8708.0	249.0	SP	3436505.0	25655.0	417165.0	16.26057298772169
2023.0	4.0	9031.0	776.0	SP	3413009.0	394.0	148821.0	377.7182741116751
2023.0	12.0	4016.0	386.0	SP	3454102.0	102.0	2072.0	20.313725490196077
2023.0	9.0	8511.0	493.0	SP	3438709.0	847.0	30408.0	35.900826446280995
2023.0	5.0	8544.0	493.0	SP	3431803.0	36.0	1618.0	44.94444444444444
2023.0	8.0	8310.0	23.0	SP	3448708.0	75.0	7145.0	95.26666666666667
2023.0	4.0	8512.0	160.0	SP	3420509.0	1251.0	26054.0	20.82653876898481
2023.0	12.0	8419.0	245.0	SP	3409502.0	7232.0	106098.0	14.670630530973451
2023.0	1.0	3403.0	386.0	SP	3422604.0	400.0	1836.0	4.59
2023.0	7.0	8473.0	399.0	SP	3450308.0	19.0	8739.0	459.94736842105266
2023.0	3.0	4408.0	249.0	SP	3457006.0	17409.0	38241.0	2.1966224366706877
2023.0	8.0	7318.0	160.0	SP	3426902.0	1789.0	23424.0	13.093348239239798
2023.0	8.0	7318.0	249.0	SP	3452205.0	30480.0	550209.0	18.051476377952756
2023.0	4.0	3917.0	160.0	SP	3438709.0	2043.0	9631.0	4.7141458639256
2023.0	9.0	8536.0	160.0	SP	3413801.0	2032.0	75286.0	37.050196850393704
2023.0	4.0	8544.0	607.0	SP	3409502.0	31.0	7131.0	230.03225806451613
2023.0	10.0	8481.0	249.0	SP	3425904.0	690.0	172518.0	250.02608695652174
2023.0	4.0	8409.0	23.0	SP	3418701.0	1270.0	131537.0	103.57244094488189
2023.0	7.0	8412.0	149.0	SP	3425904.0	53.0	1668.0	31.471698113207548
2023.0	4.0	8541.0	161.0	SP	3409502.0	5982.0	241873.0	40.433467067870275
